"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=Vv-zJJG0hj8","","4:10:34","Python Django 4 complete Tutorial for Beginners","Codingstrade","•","12K views","6 months ago",""
"https://www.youtube.com/watch?v=xSUm6iMtREA","","5:00:41","Build a Social Media App with Django – Python Web Framework Tutorial","freeCodeCamp.org","•","387K views","9 months ago","Verified"
"https://www.youtube.com/watch?v=_wp9LE0ywm8","","15:35","Create and use a Progress Bar in Python 3 Using Tkinter and TTK","CODINGDC","•","5.3K views","1 year ago",""
"https://www.youtube.com/watch?v=1UvTNMH7zDo","https://i.ytimg.com/vi/1UvTNMH7zDo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD4WTQCBB2NiMQQ_K6RANRcwnUqTA","1:19:19","How to Create a Login System in Python Using Django? | Python Projects | GeeksforGeeks","GeeksforGeeks","•","369K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=b0CgA_Ap_Mc","https://i.ytimg.com/vi/b0CgA_Ap_Mc/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDPEtLGYASoYj-J_yUj2dpo1wt_Bw","27:59","Django Tutorial - Templates & Custom HTML","Tech With Tim","•","79K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=OduVfuv44K8","https://i.ytimg.com/vi/OduVfuv44K8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA5QOUU2v1jGitBWQeTjOkf1yZEvQ","1:47:49","Python Django - Build Inline Formsets (with CBV's) Example 1","Very Academy","•","27K views","2 years ago",""
"https://www.youtube.com/watch?v=fOukA4Qh9QA","https://i.ytimg.com/vi/fOukA4Qh9QA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDG175pQvufgpWBBG6jcLrSqjYHNg","9:01:56","Getting Started With Django Tutorial // Build a CRM","JustDjango","•","455K views","2 years ago",""
"https://www.youtube.com/watch?v=WuyKxdLcw3w","https://i.ytimg.com/vi/WuyKxdLcw3w/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA8NBT7QYCD6WW7CBNJOlHnSG5rSg","2:20:03","Django Authentication & User Management - Full Tutorial","Tech With Tim","•","62K views","11 months ago","Verified"
"https://www.youtube.com/watch?v=qNifU_aQRio","https://i.ytimg.com/vi/qNifU_aQRio/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD7mlJoW2nP1f-pJ5Y4T75JkBYilA","17:59","Navbar Bootstrap 5 |  Bootstrap Navbar Tutorial","Adrian Twarog","•","147K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=6E_NeVjxCdE","https://i.ytimg.com/vi/6E_NeVjxCdE/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAZwkQhMouU8fVC4QwjeBFgQTjGhw","43:56","CRUD APP (Part 3) | CONVERT .HTML PAGES TO MODAL IN DJANGO 4 | With PK Techniques & Extends","Django Mastery","•","7.2K views","1 year ago",""
